,word,sensorimotor_mod,modality,question
0,ascodiments,0.58781546,Olfactory,Olfactory.2
1,aspintades,0.5839167,Olfactory,Olfactory.2
2,tescourine,0.5811149,Olfactory,Olfactory.2
3,frumbered,0.0025098696,Olfactory,Olfactory.2
4,margrel,0.14079794,Olfactory,Olfactory.2
5,citocoli,0.47381434,Olfactory,Olfactory.2
6,dabbedness,0.03159093,Olfactory,Olfactory.2
0,lusidour,0.5801769,Olfactory,Olfactory.3
1,bambeagna,0.55451286,Olfactory,Olfactory.3
2,selorine,0.5432901,Olfactory,Olfactory.3
3,operrhaging,0.03845884,Olfactory,Olfactory.3
4,cazzagra,0.44117108,Olfactory,Olfactory.3
5,fifuffies,0.45670226,Olfactory,Olfactory.3
6,seasslins,0.17438567,Olfactory,Olfactory.3
0,brolorous,0.53941935,Olfactory,Olfactory.4
1,ancechuttos,0.5301801,Olfactory,Olfactory.4
2,erteycole,0.5246152,Olfactory,Olfactory.4
3,crilollering,0.011122383,Olfactory,Olfactory.4
4,grumbered,0.014460631,Olfactory,Olfactory.4
5,thellering,-0.0019781515,Olfactory,Olfactory.4
6,nusprils,0.06436824,Olfactory,Olfactory.4
0,rehotes,0.8972748,Visual,Visual.1
1,scayons,0.8693359,Visual,Visual.1
2,ropsta,0.8686415,Visual,Visual.1
3,brolorous,0.4483125,Visual,Visual.1
4,menaprigication,0.36671808,Visual,Visual.1
5,thrurring,0.22029984,Visual,Visual.1
6,thellering,0.27381852,Visual,Visual.1
0,figels,0.8548681,Visual,Visual.2
1,diadegons,0.85481495,Visual,Visual.2
2,pylisation,0.84440535,Visual,Visual.2
3,canmiobraine,0.30647063,Visual,Visual.2
4,squayophrenism,0.2946207,Visual,Visual.2
5,erteycole,0.48901537,Visual,Visual.2
6,thuckeding,0.27357784,Visual,Visual.2
0,acchots,0.83300763,Visual,Visual.3
1,erdellation,0.83163136,Visual,Visual.3
2,ardudellis,0.8312625,Visual,Visual.3
3,alphociration,0.32853454,Visual,Visual.3
4,selorine,0.41896242,Visual,Visual.3
5,fereniration,0.3110329,Visual,Visual.3
6,myrticates,0.44862822,Visual,Visual.3
0,corsenations,0.829778,Visual,Visual.4
1,margrel,0.82794803,Visual,Visual.4
2,figelled,0.81982434,Visual,Visual.4
3,fluckles,0.265196,Visual,Visual.4
4,incarpritation,0.3778525,Visual,Visual.4
5,squeping,0.18862295,Visual,Visual.4
6,caeduseousness,0.2712451,Visual,Visual.4
0,forbicing,0.677574,Foot_leg,Foot_leg.1
1,acribating,0.64967185,Foot_leg,Foot_leg.1
2,crettoes,0.5820104,Foot_leg,Foot_leg.1
3,phongishments,0.057960667,Foot_leg,Foot_leg.1
4,repufling,0.19218019,Foot_leg,Foot_leg.1
5,scuptitally,0.10275706,Foot_leg,Foot_leg.1
6,cacqueting,0.3417004,Foot_leg,Foot_leg.1
0,raruting,0.58031744,Foot_leg,Foot_leg.2
1,ataulting,0.57180685,Foot_leg,Foot_leg.2
2,flompled,0.5603059,Foot_leg,Foot_leg.2
3,fluckles,0.010161698,Foot_leg,Foot_leg.2
4,sweadles,0.13434812,Foot_leg,Foot_leg.2
5,quiprigraphy,0.03814645,Foot_leg,Foot_leg.2
6,sauging,-0.0038507022,Foot_leg,Foot_leg.2
0,liechersedding,0.5501705,Foot_leg,Foot_leg.3
1,prebicing,0.5416745,Foot_leg,Foot_leg.3
2,trambings,0.539632,Foot_leg,Foot_leg.3
3,femiture,0.12018982,Foot_leg,Foot_leg.3
4,dispights,0.05084022,Foot_leg,Foot_leg.3
5,bambeagna,0.037419997,Foot_leg,Foot_leg.3
6,tyvuniated,0.31312677,Foot_leg,Foot_leg.3
0,crilders,0.5363831,Foot_leg,Foot_leg.4
1,covigating,0.5346394,Foot_leg,Foot_leg.4
