"modality","question","word","given_count","selected_count","model_rating","select_rate","r_modality","p_modality"
"Auditory","Auditory.1","ancechuttos",74,26,0,0.351351351351351,0.698672132896504,3.54725682543839e-05
"Auditory","Auditory.1","corsenations",74,39,0.09946685,0.527027027027027,0.698672132896504,3.54725682543839e-05
"Auditory","Auditory.1","crilollering",74,51,1,0.689189189189189,0.698672132896504,3.54725682543839e-05
"Auditory","Auditory.1","scalilla",74,32,0.09862688,0.432432432432432,0.698672132896504,3.54725682543839e-05
"Auditory","Auditory.1","shomples",74,15,0.09348554,0.202702702702703,0.698672132896504,3.54725682543839e-05
"Auditory","Auditory.1","squeping",74,32,1,0.432432432432432,0.698672132896504,3.54725682543839e-05
"Auditory","Auditory.1","whebbling",74,27,1,0.364864864864865,0.698672132896504,3.54725682543839e-05
"Auditory","Auditory.2","canmiobraine",67,18,0.15806468,0.26865671641791,0.698672132896504,3.54725682543839e-05
"Auditory","Auditory.2","croapings",67,33,1,0.492537313432836,0.698672132896504,3.54725682543839e-05
"Auditory","Auditory.2","erteycole",67,31,0.030482411,0.462686567164179,0.698672132896504,3.54725682543839e-05
"Auditory","Auditory.2","figelled",67,10,0.12622795,0.149253731343284,0.698672132896504,3.54725682543839e-05
"Auditory","Auditory.2","ropsta",67,19,0.0684688,0.283582089552239,0.698672132896504,3.54725682543839e-05
"Auditory","Auditory.2","stroblings",67,37,1,0.552238805970149,0.698672132896504,3.54725682543839e-05
"Auditory","Auditory.2","thellering",67,53,0.98729056,0.791044776119403,0.698672132896504,3.54725682543839e-05
"Auditory","Auditory.3","briagra",73,10,0,0.136986301369863,0.698672132896504,3.54725682543839e-05
"Auditory","Auditory.3","diturably",73,28,0.9656699,0.383561643835616,0.698672132896504,3.54725682543839e-05
"Auditory","Auditory.3","flicetock",73,18,0.09831029,0.246575342465753,0.698672132896504,3.54725682543839e-05
"Auditory","Auditory.3","hularing",73,63,0.96547246,0.863013698630137,0.698672132896504,3.54725682543839e-05
"Auditory","Auditory.3","susteries",73,28,0.13318995,0.383561643835616,0.698672132896504,3.54725682543839e-05
"Auditory","Auditory.3","sweadles",73,16,0.21228516,0.219178082191781,0.698672132896504,3.54725682543839e-05
"Auditory","Auditory.3","thrurring",73,56,0.9612212,0.767123287671233,0.698672132896504,3.54725682543839e-05
"Auditory","Auditory.4","cazzagra",78,22,0.021900471,0.282051282051282,0.698672132896504,3.54725682543839e-05
"Auditory","Auditory.4","fluckles",78,30,0.9330422,0.384615384615385,0.698672132896504,3.54725682543839e-05
"Auditory","Auditory.4","igmanilating",78,29,0.34181583,0.371794871794872,0.698672132896504,3.54725682543839e-05
"Auditory","Auditory.4","incarpritation",78,34,0.2498219,0.435897435897436,0.698672132896504,3.54725682543839e-05
"Auditory","Auditory.4","nusprils",78,15,0.09468208,0.192307692307692,0.698672132896504,3.54725682543839e-05
"Auditory","Auditory.4","squeanings",78,60,1,0.769230769230769,0.698672132896504,3.54725682543839e-05
"Auditory","Auditory.4","thuckeding",78,44,0.9167214,0.564102564102564,0.698672132896504,3.54725682543839e-05
"Foot_leg","Foot_leg.1","acribating",74,35,0.64967185,0.472972972972973,0.198418944498529,0.311454459768077
"Foot_leg","Foot_leg.1","cacqueting",74,24,0.3417004,0.324324324324324,0.198418944498529,0.311454459768077
"Foot_leg","Foot_leg.1","crettoes",74,46,0.5820104,0.621621621621622,0.198418944498529,0.311454459768077
"Foot_leg","Foot_leg.1","forbicing",74,33,0.677574,0.445945945945946,0.198418944498529,0.311454459768077
"Foot_leg","Foot_leg.1","phongishments",74,42,0.057960667,0.567567567567568,0.198418944498529,0.311454459768077
"Foot_leg","Foot_leg.1","repufling",74,17,0.19218019,0.22972972972973,0.198418944498529,0.311454459768077
"Foot_leg","Foot_leg.1","scuptitally",74,25,0.10275706,0.337837837837838,0.198418944498529,0.311454459768077
"Foot_leg","Foot_leg.2","ataulting",71,27,0.57180685,0.380281690140845,0.198418944498529,0.311454459768077
"Foot_leg","Foot_leg.2","flompled",71,52,0.5603059,0.732394366197183,0.198418944498529,0.311454459768077
"Foot_leg","Foot_leg.2","fluckles",71,32,0.010161698,0.450704225352113,0.198418944498529,0.311454459768077
"Foot_leg","Foot_leg.2","quiprigraphy",71,17,0.03814645,0.23943661971831,0.198418944498529,0.311454459768077
"Foot_leg","Foot_leg.2","raruting",71,31,0.58031744,0.436619718309859,0.198418944498529,0.311454459768077
"Foot_leg","Foot_leg.2","sauging",71,33,0,0.464788732394366,0.198418944498529,0.311454459768077
"Foot_leg","Foot_leg.2","sweadles",71,21,0.13434812,0.295774647887324,0.198418944498529,0.311454459768077
"Foot_leg","Foot_leg.3","bambeagna",75,23,0.037419997,0.306666666666667,0.198418944498529,0.311454459768077
"Foot_leg","Foot_leg.3","dispights",75,33,0.05084022,0.44,0.198418944498529,0.311454459768077
"Foot_leg","Foot_leg.3","femiture",75,52,0.12018982,0.693333333333333,0.198418944498529,0.311454459768077
"Foot_leg","Foot_leg.3","liechersedding",75,18,0.5501705,0.24,0.198418944498529,0.311454459768077
"Foot_leg","Foot_leg.3","prebicing",75,25,0.5416745,0.333333333333333,0.198418944498529,0.311454459768077
"Foot_leg","Foot_leg.3","trambings",75,52,0.539632,0.693333333333333,0.198418944498529,0.311454459768077
"Foot_leg","Foot_leg.3","tyvuniated",75,22,0.31312677,0.293333333333333,0.198418944498529,0.311454459768077
"Foot_leg","Foot_leg.4","covigating",72,13,0.5346394,0.180555555555556,0.198418944498529,0.311454459768077
